X,Y,OBJECTID,PNT,CTGY,Y_WGS_84,X_WGS_84,HGHT,RMRK,SRC,HGHT_SRC,STS
2080115.21304226,-4016970.34003562,37300,80BS25,1,-29039.47,-3753926.92,,Brass Stud in kerb / Replaces 31BS25,0,,6
2081222.78945002,-4015361.52165996,37302,76BS25,1,-28123.27,-3752593.68,,Brass Stud in kerb,0,,6
2079838.2423219,-4016357.55144771,37304,70BS25,1,-29271.13,-3753420.88,,Brass Stud in kerb,0,,6
2079750.49140664,-4015823.04232314,37306,71BS25,1,-29345.4,-3752979.07,,Brass Stud in kerb,0,,6
2079821.62534579,-4015171.22239657,37308,72BS25,1,-29287.96,-3752439.81,,Brass Stud in kerb,0,,6
2080390.04846936,-4015672.94436425,37310,77BS25,1,-28814.4,-3752853.31,,Brass Stud in kerb,0,,6
2078791.24995111,-4016568.73268005,37353,47BS35,1,-30140.43,-3753598.24,,Brass Stud in concrete,0,,6
2077780.81928939,-4012787.45446417,37355,76BS35,1,-30990.09,-3750473.47,,Brass Stud in channel,0,,6
2077518.10563731,-4012895.61843062,37357,75TP35,1,-31208.13,-3750563.66,,12mm RIP in tar,0,,6
2078351.35051545,-4014150.17361226,37359,74TP35,1,-30512.32,-3751599.15,,Punch hole in manhole frame,0,,6
2078431.55554008,-4014332.03705379,37361,73BS35,1,-30445.19,-3751749.36,,Brass Stud in kerb,0,,6
2078326.74077279,-4014658.24730407,37363,72BS35,1,-30531.42,-3752019.45,,Brass Stud in kerb,0,,6
2078556.99982454,-4016369.70438191,37365,77BS35,1,-30335.57,-3753434.27,,Brass Stud in kerb,0,,6
2077799.64625532,-4016906.91663585,37367,44BS35,1,-30963.34,-3753880.55,,Brass Stud in channel,0,,6
2076108.2112479,-4012537.66881412,37380,130DC14,3,-32380.85,-3750271.47,132.054,Renamed to 130DC13,0,,1
2068662.86263322,-4016613.88712359,37381,287O5,3,-38554.93,-3753666.01,,Demolished / See 218DC17,19,,1
2068663.01753376,-4016614.27470554,37382,218DC17,3,-38554.8,-3753666.33,33.951,,19,16,4
2100282.31346084,-4048382.89475364,37532,41BS17,1,-12251.68,-3779831.08,,Brass Stud,0,,3
2100125.5175963,-4048146.3815471,37533,34BS17,1,-12381.84,-3779636.2,,Brass Stud / Replaces 8BS17,0,,3
2099932.11893127,-4047865.81910858,37534,35BS17,1,-12542.38,-3779405.03,,Brass Stud / Replaces 9BS17,0,,3
2099736.66559173,-4047576.51525665,37535,36BS17,1,-12704.64,-3779166.65,,Brass Stud / Replaces 10BS17,0,,3
2099475.379175,-4047769.08137527,37536,37BS17,1,-12920.91,-3779325.76,,Brass Stud,0,,3
2099104.14990843,-4048024.1302918,37537,38BS17,1,-13228.19,-3779536.53,,Brass Stud,0,,3
2098844.4345105,-4048200.64917364,37538,39BS17,1,-13443.16,-3779682.41,,Brass Stud / Replaces 3BS17,0,,3
2099023.00857732,-4048476.41541865,37539,40BS17,1,-13294.89,-3779909.62,,Brass Stud / Replaces 4BS17,0,,3
2098551.41823239,-4040627.28757632,37552,100B7,3,-13695,-3773435,0,DEMOLISHED,19,3,1
2098551.56257408,-4040627.56648892,37553,100B7(62),3,-13694.88,-3773435.23,,Demolished,0,,1
2083454.52901603,-4030740.89373813,37554,100BA5,3,-26233.76,-3765299.34,0,HISTORY,19,18,4
2097767.06972604,-4040463.69155627,37555,100BB7,3,-14345.47,-3773300.96,0,,19,18,4
2058341.09414863,-3968787.73565467,37556,100CB10,3,-47325.99,-3714072.81,197.953,DEMOLISHED,19,18,1
2069594.66915202,-4013989.30019893,37557,100DC12,3,-37789.42,-3751492.23,84.253,,19,1,2
2075022.76888764,-4012793.2123792,37558,100DC13,3,-33282.21,-3750485.98,122.122,,19,18,2
2076540.61391755,-4011990.11457117,37559,100DC14,3,-32023.01,-3749817.28,126.904,A Leeman / GP 4543/85 - RM27 / checked with VRS,19,18,2
2069926.29401676,-4021440.5455106,37560,100DC17,3,-37489.51,-3757652.42,41.494,,19,18,2
2076407.81119821,-4021782.66611607,37561,100DC19,3,-32106,-3757915.47,53.721,,19,18,2
2077004.70397394,-4004909.43631158,37562,100N6,3,-31656.77,-3743956.46,0,HISTORY,19,18,1
2069510.31914226,-4018624.18954823,37563,100O5,3,-37844.24,-3755325.47,0,DEMOLISHED,19,18,1
2074133.37760061,-4013795.82442938,37564,100O6,3,-34018.39,-3751317.95,0,HISTORY,19,18,1
2098410.76112495,-4040405.80086914,37565,101B7,3,-13811.88,-3773252.39,0,,19,18,4
2098410.76041606,-4040405.82581239,37566,101B7(62),3,-13811.88,-3773252.41,,Demolished,0,,1
2083538.85607555,-4030621.78694729,37567,101BA5,3,-26164.06,-3765200.77,0,New height 57.023m,19,18,4
2097509.9852484,-4040235.28188315,37568,101BB7,3,-14558.9,-3773112.79,32.239,,19,18,2
2058362.45854382,-3969081.00496093,37569,101CB10,3,-47306.97,-3714316.24,196.703,,19,18,2
2069470.24985013,-4013944.04632637,37570,101DC12,3,-37892.96,-3751455.21,83.426,,19,1,2
2074131.8599952,-4013796.20584826,37571,101DC13,3,-34019.65,-3751318.27,102.226,HISTORY,19,25,2
2076279.60923944,-4011900.45677894,37572,101DC14,3,-32240.19,-3749743.84,130.425,A Leeman / Demolished,19,18,2
2067617.67113318,-4021997.00787259,37573,101DC17,3,-39404.79,-3758120.16,31.96,,19,18,2
2076668.20875626,-4021836.81604338,37574,101DC19,3,-31889.61,-3757959.5,53.349,,19,18,2
2077139.31929979,-4004810.33099993,37575,101N6,3,-31545.09,-3743874.05,148.89,A Leeman / CCT VRS / replaces 119CB10,19,20,4
2069541.12988593,-4018796.3236977,37576,101O5,3,-37818.08,-3755467.69,0,DEMOLISHED,19,18,1
2097900.81768999,-4039640.03865534,37577,102B7,3,-14235.61,-3772621.05,0,,19,18,4
2097900.80556684,-4039640.07499186,37578,102B7(62),3,-14235.62,-3772621.08,,Demolished,0,,1
2097110.38072848,-4040338.05304068,37579,102BB7,3,-14890.07,-3773198.12,26.276,,19,18,2
2058582.24904596,-3969325.53176293,37580,102CB10,3,-47122.62,-3714518.38,195.439,,19,18,2
2069470.5852272,-4013795.84067313,37581,102DC12,3,-37893.17,-3751332.62,87.315,,19,1,2
2076326.41132554,-4011829.45642816,37582,102DC14,3,-32201.49,-3749684.97,129.415,,19,18,2
2067984.98761964,-4021890.6204501,37583,102DC17,3,-39100.13,-3758030.96,32.955,,19,18,2
2076758.82508429,-4021700.01598972,37584,102DC19,3,-31814.74,-3757846.17,53.069,,19,18,2
2077619.77800201,-4004439.84058684,37585,102N6,3,-31146.52,-3743566.04,0,HISTORY,19,18,1
2072845.40921516,-4019820.39742217,37586,102O5,3,-35070.29,-3756303.82,0,,19,18,4
2073914.6516168,-4014441.33938564,37587,102O6,3,-34198.23,-3751852.53,82.616,HISTORY,19,18,2
2097746.45097004,-4039432.17366142,37588,103B7,3,-14363.86,-3772449.69,0,Demolished,19,18,1
2097746.45093333,-4039432.19789143,37589,103B7(62),3,-14363.86,-3772449.71,,Demolished,0,,1
2084699.9737898,-4031066.97225693,37590,103BA5,3,-25199.61,-3765565.85,15.977,,19,18,2
2058417.77123504,-3969484.86438996,37591,103CB10,3,-47259.18,-3714651.35,192.042,,19,18,2
2067597.89037158,-4012782.43989439,37592,103DC12,3,-39452.86,-3750500.67,57.018,A Leeman / Demolished,19,25,2
2074647.28925719,-4013067.06073414,37593,103DC13,3,-33593.46,-3750713.61,116.585,A Leeman / Demolished - see 83SM35,19,18,2
2068152.0040227,-4021854.3878969,37594,103DC17,3,-38961.56,-3758000.44,35.42,,19,18,2
2076734.48559615,-4021585.45252218,37595,103DC19,3,-31835.27,-3757751.54,53.662,,19,18,2
2073217.11556836,-4019537.80000406,37596,103O5,3,-34762.42,-3756069.05,0,DEMOLISHED SEE 618O5,19,18,1
2097636.11824978,-4039298.48151192,37597,104B7(62),3,-14455.51,-3772339.49,,Demolished,0,,1
2084374.66223616,-4031245.0619993,37598,104BA5,3,-25469.14,-3765713.66,15.08,,19,18,2
2097559.55535904,-4040591.60153321,37599,104BB7,3,-14517.35,-3773406.78,25.284,,19,18,2
