google_address,google_place_id,google_latitude,google_longitude,google_rating,google_primary_type,google_open_now,google_monday_hours,google_tuesday_hours,google_wednesday_hours,google_thursday_hours,google_friday_hours,google_saturday_hours,google_sunday_hours,x,y,feature_x,feature_y,nearest_x,nearest_y
"12 Christiaan Barnard St, Foreshore, Cape Town, Cape Town, Town, 8001, South Africa",ChIJp2eQmfddzB0RGobUxekj8QE,-33.920873,18.4334002,,,0,Closed,Closed,Closed,Closed,Closed,12:00 PM – 12:00 AM,5:00 PM – 12:00 AM,2052034.2,-4018167.85,18.4334002,-33.920873,18.4335087290774,-33.9209858422076
"1st Floor, The Rockerfeller, 104, 12 Christiaan Barnard St, Foreshore, Cape Town, 8000, South Africa",ChIJleTxNIldzB0RE9S1Jv-d6zY,-33.920873,18.4334002,,finance,1,9:30 AM – 4:30 PM,9:30 AM – 4:30 PM,9:30 AM – 4:30 PM,9:30 AM – 4:30 PM,9:30 AM – 4:30 PM,Closed,Closed,2052034.2,-4018167.85,18.4334002,-33.920873,18.4335087290774,-33.9209858422076
"12 Christiaan Barnard St, Foreshore, Cape Town, 8001, South Africa",ChIJlTvPjgWzzR0RCDcqNdc44tQ,-33.920873,18.4334002,5,,1,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,Closed,Closed,2052034.2,-4018167.85,18.4334002,-33.920873,18.4335087290774,-33.9209858422076
"The Rockefeller, 12 Christiaan Barnard St, Foreshore, Cape Town, 8000, South Africa",ChIJleTxNIldzB0RrZWyNJ54t2o,-33.920873,18.4334002,,makeup_artist,,,,,,,,,2052034.2,-4018167.85,18.4334002,-33.920873,18.4335087290774,-33.9209858422076
"Office 13, 12 Christiaan Barnard St, Foreshore, Cape Town, 8001, South Africa",ChIJhaioN9ldzB0RWvkvVBlqJa8,-33.920873,18.4334002,,electronics_store,1,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 3:00 PM,Closed,Closed,2052034.2,-4018167.85,18.4334002,-33.920873,18.4335087290774,-33.9209858422076
"12 Christiaan Barnard St, Foreshore, Cape Town, 8000, South Africa",ChIJ8Y7oOWldzB0R9Wobm1G-dKo,-33.920873,18.4334002,,hotel,,,,,,,,,2052034.2,-4018167.85,18.4334002,-33.920873,18.4335087290774,-33.9209858422076
"Shop 3A, Shamrock Place, Cape Town City Centre, George, 6529, South Africa",ChIJVY6TQFdnzB0Rboz_TuxBkpY,-33.9207,18.42433,,finance,1,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,8:30 AM – 4:30 PM,9:00 – 11:30 AM,Closed,2050955.7881183,-4018151.68671467,18.42433,-33.9207,18.424254729021,-33.9208002234415
"Riebeek St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJscsmfGFnzB0RfmwRdW2OYK4,-33.9205756,18.4241595,,clothing_store,,,,,,,,,2050955.7881183,-4018151.68671467,18.4241595,-33.9205756,18.4240859821262,-33.9206734891788
"cnr Riebeeck and, Adderley St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJqQU0l3dnzB0RDXFSju540YQ,-33.920773,18.424345,,atm,1,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 – 11:00 AM,7:00 – 11:00 AM,2050955.7881183,-4018151.68671467,18.424345,-33.920773,18.4243012007332,-33.9208339929099
"22nd floor, ABSA Building 2 Riebeek Street, Cape Town City Centre, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJHbh6fmFnzB0RTjqSvgpYEq0,-33.9205128,18.4243794,,,1,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,Closed,Closed,2051041.45669404,-4018123.29309569,18.4243794,-33.9205128,18.42454863844,-33.9206906505076
"33 Martin Hammerschlag Way, Foreshore, Cape Town, 8000, South Africa",ChIJ8SBfg4RnzB0RgBUQdFTRTTk,-33.9205855,18.4316534,,tour_agency,1,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,2051799.40436379,-4018196.34842623,18.4316534,-33.9205855,18.4315610068876,-33.9204888469635
"2nd Floor, Bidvest Building, 33 Martin Hammerschlag Way, Foreshore, Cape Town, 8000, South Africa",ChIJ28QGbIldzB0R8JEBWab8E6w,-33.9205855,18.4316534,,consultant,,,,,,,,,2051799.40436379,-4018196.34842623,18.4316534,-33.9205855,18.4315610068876,-33.9204888469635
"33 Martin Hammerschlag Way, Foreshore, Cape Town, 8001, South Africa",ChIJ28QGbIldzB0RUKhlx04icpw,-33.9205855,18.4316534,5,,,,,,,,,,2051799.40436379,-4018196.34842623,18.4316534,-33.9205855,18.4315610068876,-33.9204888469635
"33 Martin Hammerschlag Way, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJsfVXti9dzB0REj1c_j5r6ys,-33.9205855,18.4316534,,corporate_office,,,,,,,,,2051799.40436379,-4018196.34842623,18.4316534,-33.9205855,18.4315610068876,-33.9204888469635
"33 Martin Hammerschlag Way, Foreshore, Cape Town, 7441, South Africa",ChIJ28QGbIldzB0R00hhKJMBzwo,-33.9205855,18.4316534,,,,,,,,,,,2051799.40436379,-4018196.34842623,18.4316534,-33.9205855,18.4315610068876,-33.9204888469635
"33 Martin Hammerschlag Way, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJK6jXHqddzB0Rg6HoG21gwz4,-33.9205855,18.4316534,,,1,9:00 AM – 4:30 PM,9:00 AM – 4:30 PM,9:00 AM – 4:30 PM,9:00 AM – 4:30 PM,9:00 AM – 4:30 PM,Closed,Closed,2051799.40436379,-4018196.34842623,18.4316534,-33.9205855,18.4315610068876,-33.9204888469635
"33 Martin Hammerschlag Way, Foreshore, Cape Town, 8000, South Africa",ChIJ28QGbIldzB0RGvQBeEKMcqY,-33.9205855,18.4316534,,real_estate_agency,,,,,,,,,2051799.40436379,-4018196.34842623,18.4316534,-33.9205855,18.4315610068876,-33.9204888469635
"1 St Georges Mall, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJ_1DfmjtnzB0RHVo5wR1vEPs,-33.9203227,18.4241834,5,massage,1,8:00 AM – 9:00 PM,8:00 AM – 9:00 PM,8:00 AM – 9:00 PM,8:00 AM – 9:00 PM,8:00 AM – 9:00 PM,9:00 AM – 9:00 PM,9:00 AM – 9:00 PM,2050943.27891761,-4018094.93118202,18.4241834,-33.9203227,18.4240186823188,-33.9201464746599
"2 Riebeek St, Foreshore, Cape Town, 8001, South Africa",ChIJeeeqpZpnzB0R70eNfPVa7YA,-33.9203785,18.4243079,4,dentist,1,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 1:00 PM,Closed,2050943.27891761,-4018094.93118202,18.4243079,-33.9203785,18.4240572932123,-33.9201103850893
"1 St Georges Mall, City Center, Cape Town, 8001, CBD, Cape Town, 8000, South Africa",ChIJJ4GUeyxnzB0RY11vrqpgXpA,-33.9203227,18.4241834,4.5,lodging,1,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,Closed,Closed,2050943.27891761,-4018094.93118202,18.4241834,-33.9203227,18.4240186823188,-33.9201464746599
"Paradyskloof, Cape Town, 7600, South Africa",ChIJC9yk1WNnzB0R6g0lMstmpoI,-33.9203876,18.4243147,,food_store,1,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,Closed,2050955.7881183,-4018151.68671467,18.4243147,-33.9203876,18.4240949371201,-33.9206802146628
